update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
34,557056,5.508962869644165,4.445037841796875,5.508962869644165,74.30496215820312,73.24103713035583,0.02,0.375,0.00045,0.004994808143237606
35,573440,5.764434337615967,4.937241077423096,5.764434337615967,73.8127589225769,72.98556566238403,0.02,0.375,0.00045,0.004829266451997683
36,589824,6.210360527038574,5.401322841644287,6.210360527038574,73.34867715835571,72.53963947296143,0.02,0.375,0.00045,0.004176784330047667
37,606208,7.109365463256836,5.963627099990845,7.109365463256836,72.78637290000916,71.64063453674316,0.02,0.375,0.00045,0.005062862648628652
38,622592,6.977126598358154,5.709782838821411,6.977126598358154,73.04021716117859,71.77287340164185,0.02,0.375,0.00045,0.003321987827075645
39,638976,7.750335931777954,6.270185708999634,7.750335931777954,72.47981429100037,70.99966406822205,0.02,0.375,0.00045,0.006831175787374378
40,655360,8.794084787368774,6.9168782234191895,8.794084787368774,71.83312177658081,69.95591521263123,0.02,0.375,0.00045,0.009913805325049907
41,671744,9.941807985305786,7.564876079559326,9.941807985305786,71.18512392044067,68.80819201469421,0.02,0.375,0.00045,0.009258512295491527
42,688128,12.302271127700806,8.282939195632935,12.302271127700806,70.46706080436707,66.4477288722992,0.02,0.375,0.00045,0.01739024501439417
43,704512,19.580492973327637,8.939669132232666,19.580492973327637,69.81033086776733,59.16950702667236,0.02,0.375,0.00045,0.08622563491444453
44,720896,37.309420704841614,9.624782800674438,37.309420704841614,69.12521719932556,41.440579295158386,0.02,0.30000000000000004,0.00036,0.19170706092972978
45,737280,45.50172746181488,10.30430555343628,45.50172746181488,68.44569444656372,33.24827253818512,0.02,0.24000000000000005,0.000288,0.03600895313120418
46,753664,59.8084619641304,11.102173328399658,59.8084619641304,67.64782667160034,18.9415380358696,0.02,0.24000000000000005,0.000288,0.17442596981800307
47,770048,67.10465684533119,12.066540718078613,67.10465684533119,66.68345928192139,11.645343154668808,0.02,0.19200000000000006,0.00023040000000000004,0.08426655848761584
48,786432,69.63916406035423,13.435701131820679,69.63916406035423,65.31429886817932,9.110835939645767,0.02,0.15360000000000007,0.00018432000000000008,0.04071359901718097
49,802816,71.2772136926651,14.922086000442505,71.2772136926651,63.827913999557495,7.4727863073349,0.02,0.15360000000000007,0.00018432000000000008,0.03269546397350496
50,819200,72.36658096313477,16.40665888786316,72.36658096313477,62.34334111213684,6.383419036865234,0.02,0.15360000000000007,0.00018432000000000008,0.028669062348490114
51,835584,73.09275701642036,17.90080428123474,73.09275701642036,60.84919571876526,5.657242983579636,0.02,0.15360000000000007,0.00018432000000000008,0.026678065257146954
52,851968,73.67626339197159,19.399133920669556,73.67626339197159,59.350866079330444,5.073736608028412,0.02,0.15360000000000007,0.00018432000000000008,0.028448152483906596
53,868352,74.10687640309334,20.845035314559937,74.10687640309334,57.90496468544006,4.643123596906662,0.02,0.15360000000000007,0.00018432000000000008,0.024759494024328886
54,884736,74.4726850092411,22.290501594543457,74.4726850092411,56.45949840545654,4.277314990758896,0.02,0.15360000000000007,0.00018432000000000008,0.027305580908432603
55,901120,74.78281877934933,23.773608207702637,74.78281877934933,54.97639179229736,3.967181220650673,0.02,0.15360000000000007,0.00018432000000000008,0.026293917157454418
56,917504,75.03113321959972,25.24527072906494,75.03113321959972,53.50472927093506,3.718866780400276,0.02,0.15360000000000007,0.00018432000000000008,0.026941356394672766
57,933888,75.23059867322445,26.684430837631226,75.23059867322445,52.065569162368774,3.519401326775551,0.02,0.15360000000000007,0.00018432000000000008,0.026430051744682714
58,950272,75.38810059428215,28.16556453704834,75.38810059428215,50.58443546295166,3.3618994057178497,0.02,0.15360000000000007,0.00018432000000000008,0.024414194939890877
59,966656,75.50075858831406,29.678062200546265,75.50075858831406,49.071937799453735,3.2492414116859436,0.02,0.15360000000000007,0.00018432000000000008,0.026286458276445046
60,983040,75.3058659285307,31.117529273033142,75.3058659285307,47.63247072696686,3.444134071469307,0.02,0.15360000000000007,0.00018432000000000008,0.023987757333088666
61,999424,74.66247215867043,32.53485023975372,74.66247215867043,46.21514976024628,4.087527841329575,0.02,0.15360000000000007,0.00018432000000000008,0.026889804081292823
62,1015808,73.82602266967297,33.82114231586456,73.82602266967297,44.92885768413544,4.923977330327034,0.02,0.15360000000000007,0.00018432000000000008,0.02917793665546924
63,1032192,72.54373379051685,34.987033009529114,72.54373379051685,43.762966990470886,6.206266209483147,0.02,0.15360000000000007,0.00018432000000000008,0.03028157370572444
64,1048576,70.57614162564278,35.88011026382446,70.57614162564278,42.86988973617554,8.173858374357224,0.02,0.15360000000000007,0.00018432000000000008,0.030543468524410856
65,1064960,67.9331673681736,36.55148804187775,67.9331673681736,42.19851195812225,10.8168326318264,0.02,0.15360000000000007,0.00018432000000000008,0.031556040253781246
66,1081344,63.464607894420624,37.05522179603577,63.464607894420624,41.69477820396423,15.285392105579376,0.02,0.15360000000000007,0.00018432000000000008,0.0370876667308039
67,1097728,58.26038330793381,37.40033268928528,58.26038330793381,41.34966731071472,20.489616692066193,0.02,0.15360000000000007,0.00018432000000000008,0.02881803266609495
68,1114112,53.054941296577454,37.66009271144867,53.054941296577454,41.08990728855133,25.695058703422546,0.02,0.15360000000000007,0.00018432000000000008,0.024052887828474923
69,1130496,48.05392384529114,37.362844347953796,48.05392384529114,41.387155652046204,30.696076154708862,0.02,0.15360000000000007,0.00018432000000000008,0.02155424979282543
70,1146880,43.4005206823349,37.10601091384888,43.4005206823349,41.64398908615112,35.3494793176651,0.02,0.15360000000000007,0.00018432000000000008,0.013487796035656174
71,1163264,38.58615517616272,36.81670784950256,38.58615517616272,41.93329215049744,40.16384482383728,0.02,0.15360000000000007,0.00018432000000000008,0.009380915245617415
72,1179648,36.534685492515564,36.534685492515564,34.63745176792145,42.215314507484436,44.11254823207855,0.02,0.15360000000000007,0.00018432000000000008,0.006788559471056032
73,1196032,36.28152370452881,36.28152370452881,32.77859151363373,42.46847629547119,45.97140848636627,0.02,0.18432000000000007,0.0002304000000000001,0.0018010218410267954
74,1212416,35.89665651321411,35.89665651321411,33.08580279350281,42.85334348678589,45.66419720649719,0.02,0.22118400000000007,0.0002880000000000001,0.0020279016738072642
75,1228800,35.650715827941895,35.650715827941895,32.859254479408264,43.099284172058105,45.890745520591736,0.02,0.26542080000000007,0.00036000000000000013,0.0004186352818578598
76,1245184,35.16027390956879,35.16027390956879,32.32310771942139,43.58972609043121,46.42689228057861,0.02,0.31850496000000006,0.00045,0.0029300567065206453
77,1261568,34.6868371963501,34.6868371963501,32.1186637878418,44.0631628036499,46.6313362121582,0.02,0.375,0.00045,0.0018058100796565669
78,1277952,34.30882453918457,34.30882453918457,32.898951172828674,44.44117546081543,45.851048827171326,0.02,0.375,0.00045,0.001139739762015779
79,1294336,33.74309599399567,33.74309599399567,31.83300256729126,45.00690400600433,46.91699743270874,0.02,0.375,0.00045,0.0044879314962372515
80,1310720,34.23378229141235,34.23378229141235,32.7585643529892,44.51621770858765,45.9914356470108,0.02,0.375,0.00045,0.0026033163329088893
81,1327104,33.77949357032776,33.77949357032776,32.42538928985596,44.97050642967224,46.32461071014404,0.02,0.375,0.00045,0.0024996343709744904
82,1343488,33.196735978126526,33.196735978126526,32.35853374004364,45.553264021873474,46.39146625995636,0.02,0.375,0.00045,0.0038264738847146873
83,1359872,33.6835241317749,33.6835241317749,32.700393199920654,45.0664758682251,46.049606800079346,0.02,0.375,0.00045,0.002750624610700925
84,1376256,34.17313754558563,34.17313754558563,32.50204384326935,44.57686245441437,46.24795615673065,0.02,0.375,0.00045,0.003081770738128853
85,1392640,34.480146169662476,34.480146169662476,31.834152936935425,44.269853830337524,46.915847063064575,0.02,0.375,0.00045,0.0008031849380643052
86,1409024,33.9165335893631,33.9165335893631,31.776491403579712,44.8334664106369,46.97350859642029,0.02,0.375,0.00045,0.0032369733633800025
87,1425408,33.531025648117065,33.531025648117065,31.664652228355408,45.218974351882935,47.08534777164459,0.02,0.375,0.00045,0.0012421140082210513
88,1441792,32.993552684783936,32.993552684783936,31.456515789031982,45.756447315216064,47.29348421096802,0.02,0.375,0.00045,0.003686820608805874
89,1458176,33.55995178222656,33.55995178222656,31.456503868103027,45.19004821777344,47.29349613189697,0.02,0.375,0.00045,0.0030602222062498185
90,1474560,33.29442501068115,33.29442501068115,32.00632989406586,45.45557498931885,46.74367010593414,0.02,0.375,0.00045,0.0009505917878811943
91,1490944,33.132678866386414,33.132678866386414,32.01265096664429,45.617321133613586,46.73734903335571,0.02,0.375,0.00045,0.0008393639213579718
92,1507328,33.72919023036957,33.72919023036957,31.821027994155884,45.02080976963043,46.928972005844116,0.02,0.375,0.00045,0.004828488836255929
93,1523712,33.36069643497467,33.36069643497467,33.3326256275177,45.38930356502533,45.4173743724823,0.02,0.375,0.00045,0.003332737757415316
94,1540096,32.825923562049866,32.825923562049866,32.17712700366974,45.924076437950134,46.57287299633026,0.02,0.375,0.00045,0.004121998157063445
95,1556480,32.37398624420166,32.37398624420166,31.673497557640076,46.37601375579834,47.076502442359924,0.02,0.375,0.00045,0.002316577903320649
96,1572864,32.87972867488861,32.87972867488861,32.01678156852722,45.87027132511139,46.73321843147278,0.02,0.375,0.00045,0.0022571476993164196
