step,method,q,seed,ablation,approx_kl,mean_kl_window
1712128,TEL-PPO,55.0,50,baseline,0.0281,
1716224,TEL-PPO,55.0,50,baseline,0.0313,
1720320,TEL-PPO,55.0,50,baseline,0.0211,
1724416,TEL-PPO,55.0,50,baseline,0.0382,
1728512,TEL-PPO,55.0,50,baseline,0.0119,
1732608,TEL-PPO,55.0,50,baseline,0.007,
1736704,TEL-PPO,55.0,50,baseline,0.0,
1740800,TEL-PPO,55.0,50,baseline,0.0235,
1744896,TEL-PPO,55.0,50,baseline,0.0618,
1748992,TEL-PPO,55.0,50,baseline,0.0502,
1753088,TEL-PPO,55.0,50,baseline,0.0,
1757184,TEL-PPO,55.0,50,baseline,0.0,
1761280,TEL-PPO,55.0,50,baseline,0.0161,
1765376,TEL-PPO,55.0,50,baseline,0.047,
1769472,TEL-PPO,55.0,50,baseline,0.0223,
1773568,TEL-PPO,55.0,50,baseline,0.0184,
1777664,TEL-PPO,55.0,50,baseline,0.0,
1781760,TEL-PPO,55.0,50,baseline,0.0005,
1785856,TEL-PPO,55.0,50,baseline,0.0518,
1789952,TEL-PPO,55.0,50,baseline,0.059,
1794048,TEL-PPO,55.0,50,baseline,0.0223,
1798144,TEL-PPO,55.0,50,baseline,0.0048,
1802240,TEL-PPO,55.0,50,baseline,0.0,
1806336,TEL-PPO,55.0,50,baseline,0.0,
1810432,TEL-PPO,55.0,50,baseline,0.0,
1814528,TEL-PPO,55.0,50,baseline,0.0282,
1818624,TEL-PPO,55.0,50,baseline,0.0402,
1822720,TEL-PPO,55.0,50,baseline,0.0051,
1826816,TEL-PPO,55.0,50,baseline,0.0,
1830912,TEL-PPO,55.0,50,baseline,0.05,
1835008,TEL-PPO,55.0,50,baseline,0.0445,
1839104,TEL-PPO,55.0,50,baseline,0.0037,
1843200,TEL-PPO,55.0,50,baseline,0.0001,
1847296,TEL-PPO,55.0,50,baseline,0.0037,
1851392,TEL-PPO,55.0,50,baseline,0.0366,
1855488,TEL-PPO,55.0,50,baseline,0.006,
1859584,TEL-PPO,55.0,50,baseline,0.024,
1863680,TEL-PPO,55.0,50,baseline,0.0354,
1867776,TEL-PPO,55.0,50,baseline,0.0,
1871872,TEL-PPO,55.0,50,baseline,0.0,
1875968,TEL-PPO,55.0,50,baseline,0.0,
1880064,TEL-PPO,55.0,50,baseline,0.0121,
1884160,TEL-PPO,55.0,50,baseline,0.0375,
1888256,TEL-PPO,55.0,50,baseline,0.0554,
1892352,TEL-PPO,55.0,50,baseline,0.0261,
1896448,TEL-PPO,55.0,50,baseline,0.0,
1900544,TEL-PPO,55.0,50,baseline,0.0476,
1904640,TEL-PPO,55.0,50,baseline,0.0,
1908736,TEL-PPO,55.0,50,baseline,0.0331,
1912832,TEL-PPO,55.0,50,baseline,0.0225,
1916928,TEL-PPO,55.0,50,baseline,0.0,
1921024,TEL-PPO,55.0,50,baseline,0.0464,
1925120,TEL-PPO,55.0,50,baseline,0.0322,
1929216,TEL-PPO,55.0,50,baseline,0.0,
1933312,TEL-PPO,55.0,50,baseline,0.0,
1937408,TEL-PPO,55.0,50,baseline,0.0423,
1941504,TEL-PPO,55.0,50,baseline,0.0084,
1945600,TEL-PPO,55.0,50,baseline,0.0002,
1949696,TEL-PPO,55.0,50,baseline,0.0369,
1953792,TEL-PPO,55.0,50,baseline,0.0,
1957888,TEL-PPO,55.0,50,baseline,0.0254,
1961984,TEL-PPO,55.0,50,baseline,0.028,
