update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
88,1441792,33.428186774253845,33.428186774253845,31.49653136730194,45.321813225746155,47.25346863269806,0.02,0.375,0.00045,0.00045386151790012265
89,1458176,32.91485667228699,32.91485667228699,31.84813916683197,45.83514332771301,46.90186083316803,0.02,0.375,0.00045,0.00260672162304445
90,1474560,32.92809188365936,32.92809188365936,31.92823886871338,45.82190811634064,46.82176113128662,0.02,0.375,0.00045,2.86004984786814e-05
91,1490944,32.596219182014465,32.596219182014465,32.27108180522919,46.153780817985535,46.47891819477081,0.02,0.375,0.00045,0.0009607849325561802
92,1507328,33.204636573791504,33.204636573791504,32.017309069633484,45.545363426208496,46.732690930366516,0.02,0.375,0.00045,0.00422437868318184
93,1523712,32.84957766532898,32.84957766532898,32.06423878669739,45.90042233467102,46.68576121330261,0.02,0.375,0.00045,0.0002687566950271503
94,1540096,33.264679312705994,33.264679312705994,31.91441059112549,45.485320687294006,46.83558940887451,0.02,0.375,0.00045,0.0022297852615679402
95,1556480,33.80320429801941,33.80320429801941,31.88739776611328,44.94679570198059,46.86260223388672,0.02,0.375,0.00045,0.0037844767237174893
96,1572864,33.77757132053375,33.77757132053375,32.24609851837158,44.97242867946625,46.50390148162842,0.02,0.375,0.00045,-1.2115827070147134e-05
97,1589248,33.15097153186798,33.15097153186798,32.04289138317108,45.59902846813202,46.70710861682892,0.02,0.375,0.00045,0.005221514925977999
98,1605632,32.664645314216614,32.664645314216614,31.447959542274475,46.085354685783386,47.302040457725525,0.02,0.375,0.00045,0.0035049135384838336
99,1622016,33.097750544548035,33.097750544548035,31.35932147502899,45.652249455451965,47.39067852497101,0.02,0.375,0.00045,0.0011535081102124422
100,1638400,33.61147701740265,33.61147701740265,31.97570502758026,45.13852298259735,46.77429497241974,0.02,0.375,0.00045,0.002844307635285759
101,1654784,34.12112355232239,34.12112355232239,31.60586714744568,44.62887644767761,47.14413285255432,0.02,0.375,0.00045,0.003055685943343178
102,1671168,34.264004826545715,34.264004826545715,32.538018226623535,44.485995173454285,46.211981773376465,0.02,0.375,0.00045,0.0005565329510034189
103,1687552,33.740944266319275,33.740944266319275,31.71437442302704,45.009055733680725,47.03562557697296,0.02,0.375,0.00045,0.0028146550945848505
