run_id,variant_name,stage1_weight,stage2_weight,k1,k2,information_revelation,theoretical_stage1_effort,theoretical_stage2_effort,Model_training,final_stage1_effort,final_stage2_effort,final_weighted_effort,Convergence_Quality,episodes,Gap_from_theoretical,abs_err,stage2_gap_unweighted,gradient_iterations,gradient_final_grad,gradient_mode,opp_mode,opp_sync_interval,opp_ema_tau,opp_hist_size,last_sync_step,approx_kl,batch_entropy,alpha_mean,beta_mean,kl_proxy_max,kl_proxy_mean,ratio_max,ratio_mean,clip_frac_max,clip_frac_mean,approx_kl_max_abs,mean_kl_window,std_kl_window,drift_effort,exploitability,best_dev_effort,symmetry_gap,drift_ok_streak,exploit_ok_streak,converged_flag,eval_vs_history_effort_mean,eval_vs_history_effort_std,eval_vs_history_reward_mean,eval_vs_history_reward_std,eval_vs_history_abs_err_mean
20260408_164241,baseline,3.0,6.5,0.00055,0.00055,none,0.0,35.35353535353535,ppo,0.0,38.788336515426636,252.12418735027313,Poor,6144000,22.32620755229337,3.4348011618912864,3.4348011618912864,,,,periodic,0,0.0,0,-1,0.0277099609375,-4.484375,12402.982421875,19573.080078125,0.03465338423848152,0.015483201932511292,2.4750237464904785,0.987773209810257,0.482421875,0.223876953125,0.041900634765625,0.022810173034667966,0.028587604259185058,0.9017288684844971,0.014464378356933594,32.5,0.0021875398232680254,0,5,1,,,,,
20260409_030551,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,ppo,0.0,46.45207226276398,301.93846970796585,Poor,6144000,7.585339815843724,1.1669753562836505,1.1669753562836505,,,,periodic,0,0.0,0,-1,-0.0015664100646972656,-3.77734375,3813.255615234375,4395.75537109375,0.004462921526283026,0.0013477594693540595,1.3829498291015625,1.0029141828417778,0.0283203125,0.0052490234375,0.010372161865234375,0.0038594024521963937,0.004118884713086425,0.010514259338378906,0.0012936592102050781,47.0,0.019026699475936937,3,5,1,,,,,
20260409_030551,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,37.037037037037045,ppo,0.0,39.457181096076965,256.4716771245003,Poor,6144000,15.730936383759484,2.42014405903992,2.42014405903992,,,,periodic,0,0.0,0,-1,0.00400543212890625,-4.032366071428571,5102.80078125,7829.70166015625,0.033641017973423004,0.010532543021586857,2.201331615447998,1.006527100290571,0.4375,0.1484375,0.02443695068359375,0.006105510393778483,0.008498473115656024,0.10558068752288818,0.012351036071777344,34.5,0.006974843330766589,4,5,1,,,,,
20260409_030551,baseline,3.0,6.5,0.00055,0.00055,none,0.0,45.45454545454545,ppo,0.0,41.37497842311859,268.93735975027084,Poor,6144000,26.517185704274596,4.079567031426862,4.079567031426862,,,,periodic,0,0.0,0,-1,0.009577274322509766,-3.7314453125,3003.460693359375,4255.662109375,0.007870594039559364,0.003126027288089972,1.4380402565002441,0.9935487657785416,0.1103515625,0.0286865234375,0.02111053466796875,0.005461935202280681,0.005923757055896528,0.11577904224395752,0.0017766952514648438,41.0,0.001614377833838887,3,5,1,,,,,
20260409_030551,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,ppo,0.0,46.04271948337555,299.27767664194107,Poor,6144000,10.246132881868505,1.5763281356720782,1.5763281356720782,,,,periodic,0,0.0,0,-1,0.006850242614746094,-3.80859375,4013.670654296875,4703.60498046875,0.01883193477988243,0.008836650711600669,1.7413966655731201,1.0019863918423653,0.2939453125,0.131103515625,0.02071380615234375,0.005852401256561279,0.005515444904742978,0.5044162273406982,0.001316070556640625,46.75,0.010396944358951998,3,5,1,,,,,
20260409_030551,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,ppo,0.0,48.68593215942383,316.4585590362549,Poor,6144000,6.934749512445308,1.0668845403762006,1.0668845403762006,,,,periodic,0,0.0,0,-1,0.0023255348205566406,-3.6787109375,3268.7197265625,3445.169677734375,0.011513601057231426,0.003449130912485998,1.507053256034851,1.0011236071586609,0.173828125,0.044921875,0.01842498779296875,0.00416836142539978,0.0033043268596123746,0.008761882781982422,0.000431060791015625,49.0,0.011662376113179107,3,5,1,,,,,
20260409_030551,baseline,3.0,6.5,0.00055,0.00055,none,0.0,45.45454545454545,ppo,0.0,44.70094442367554,290.556138753891,Fair,6144000,4.898406700654448,0.7536010308699161,0.7536010308699161,,,,periodic,0,0.0,0,-1,0.008932113647460938,-3.65576171875,2837.7744140625,3510.580322265625,0.02194107510149479,0.009049396248883568,1.839281439781189,1.000117301940918,0.3291015625,0.1365966796875,0.027759552001953125,0.005335474014282226,0.00328736354820172,0.3913462162017822,0.0017406940460205078,45.75,0.016652851365250854,3,5,1,,,,,
20260409_030551,baseline,3.0,6.5,0.00055,0.00055,none,0.0,45.45454545454545,ppo,0.0,44.886621832847595,291.76304191350937,Fair,6144000,3.69150354103607,0.567923621697858,0.567923621697858,,,,periodic,0,0.0,0,-1,0.008443355560302734,-3.666015625,2905.9130859375,3567.982421875,0.0021598353050649166,0.0008355852551176213,1.2790194749832153,0.9923922345042229,0.0029296875,0.000732421875,0.01141357421875,0.0064057985941569,0.0051927251872738315,0.29806792736053467,0.0006649494171142578,47.0,0.020164778456127408,3,5,1,,,,,
20260409_030551,wh8_wl4,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,ppo,0.0,45.156532526016235,293.51746141910553,Poor,6144000,16.006348104704045,2.462515093031392,2.462515093031392,,,,periodic,0,0.0,0,-1,0.009661674499511719,-3.60595703125,2616.72412109375,3178.06103515625,0.015603180974721909,0.0055890861840453,1.5488303899765015,0.9959274083375931,0.244140625,0.070556640625,0.021785736083984375,0.003348994255065918,0.0033436892507048067,0.45374929904937744,0.0029158592224121094,44.75,0.014728878624730157,3,5,1,,,,,
20260409_030551,baseline,3.0,6.5,0.00055,0.00055,none,0.0,35.35353535353535,ppo,0.0,39.049530029296875,253.8219451904297,Poor,6144000,24.023965392449924,3.6959946757615256,3.6959946757615256,,,,periodic,0,0.0,0,-1,0.0002543131510416667,-4.114583333333333,5763.86865234375,8996.53515625,0.025171050801873207,0.00763426156481728,2.3616840839385986,1.007379909356435,0.3798828125,0.11051432291666667,0.0112762451171875,0.007910684630984351,0.00864630867197926,0.9321838617324829,0.008184671401977539,37.0,0.0038897385820177988,5,5,1,,,,,
