lr,steps,grad_eps,tol,num_samples,init_perturb,q,theoretical_effort,final_effort,e1,e2,gap,gap_e1,gap_e2,avg_gap,symmetry_gap,iterations,final_grad,quality,efficiency_score,converged,status
0.2,500,0.8,0.0001,64,3.0,25.0,87.5,86.92195970674214,85.53729404999609,88.30662536348818,1.9627059500039081,1.9627059500039081,0.8066253634881804,1.3846656567460442,2.7693313134920885,500.0,0.0364714482225062,Fair,2.249639081353117,False,success
0.2,1000,0.1,0.0001,256,3.0,25.0,87.5,87.41832538676317,86.14012606611513,88.69652470741121,1.3598739338848702,1.3598739338848702,1.1965247074112142,1.2781993206480422,2.5563986412960844,1000.0,0.07096857473788187,Fair,1.6255137980144787,False,success
0.2,1000,0.3,0.001,32,2.0,25.0,87.5,86.48938138360543,85.63724850317354,87.34151426403731,1.862751496826462,1.862751496826462,0.15848573596268523,1.0106186163945736,1.7042657608637768,1000.0,0.0698843929140954,Fair,2.0431780729128395,False,success
0.2,1000,0.8,0.001,128,1.0,25.0,87.5,87.519303471594,87.02042230753914,88.01818463564886,0.5181846356488649,0.47957769246086457,0.5181846356488649,0.4988811640548647,0.9977623281097294,14.0,0.002055501588772435,Good,0.6181008684598378,True,success
0.2,1500,0.2,1e-05,16,0.5,25.0,87.5,87.451707138333,87.2550539492467,87.64836032741931,0.244946050753299,0.244946050753299,0.1483603274193115,0.19665318908630525,0.3933063781726105,1500.0,0.07012990904738392,Excellent,0.29427668857056005,False,success
0.2,1500,0.5,1e-05,64,0.5,25.0,87.5,87.69764198184579,87.50098879275939,87.8942951709322,0.394295170932196,0.0009887927593865697,0.394295170932196,0.1976419818457913,0.39330637817280945,1500.0,0.015630437006666664,Excellent,0.443625808749477,False,success
0.2,1500,1.0,1e-05,128,3.0,25.0,87.5,86.21812963158405,85.03821049706578,87.39804876610233,2.4617895029342236,2.4617895029342236,0.10195123389766536,1.2818703684159445,2.3598382690365582,1500.0,0.028907439203154084,Fair,2.707773329837879,False,success
0.2,2000,0.2,0.0001,16,2.0,25.0,87.5,86.09376272205245,85.36763227613922,86.81989316796567,2.1323677238607814,2.1323677238607814,0.6801068320343262,1.4062372779475538,1.4522608918264552,2000.0,0.06946702925905601,Fair,2.2875938130434266,False,success
0.2,2000,0.5,0.0001,64,1.0,25.0,87.5,86.43917835528151,86.0761131323249,86.80224357823812,1.423886867675094,1.423886867675094,0.6977564217618806,1.0608216447184873,0.7261304459132134,2000.0,0.01475665592753872,Fair,1.5064999122664153,False,success
0.2,2000,1.0,0.0001,256,1.0,25.0,87.5,87.096650570044,86.7335853470874,87.4597157930006,0.7664146529126015,0.7664146529126015,0.04028420699940227,0.40334942995600187,0.7261304459131992,2000.0,0.005809373722125644,Good,0.8490276975039214,False,success
0.2,3000,0.2,0.001,32,0.5,25.0,87.5,87.3952248809414,87.24053497383007,87.54991478805273,0.2594650261699343,0.2594650261699343,0.04991478805273175,0.154689907111333,0.309379814222666,3000.0,0.07005114001284563,Excellent,0.3004030075922009,False,success
0.2,3000,0.5,0.001,64,3.0,25.0,87.5,85.69799639541947,84.7698569527514,86.62613583808752,2.7301430472486032,2.7301430472486032,0.8738641619124792,1.8020036045805412,1.856278885336124,3000.0,0.06931199859024462,Fair,2.9257709357822153,False,success
0.2,3000,1.0,0.001,256,3.0,25.0,87.5,87.49967187499999,85.999911875,88.999431875,1.5000881250000049,1.5000881250000049,1.499431874999999,1.499760000000002,2.999520000000004,1.0,0.002840625000000152,Fair,1.8000434583333387,True,success
