step,method,q,seed,ablation,approx_kl,mean_kl_window
557056,TEL-PPO,40.0,42,baseline,,
561152,TEL-PPO,40.0,42,baseline,,
565248,TEL-PPO,40.0,42,baseline,,
569344,TEL-PPO,40.0,42,baseline,,
573440,TEL-PPO,40.0,42,baseline,,
577536,TEL-PPO,40.0,42,baseline,,
581632,TEL-PPO,40.0,42,baseline,,
585728,TEL-PPO,40.0,42,baseline,,
589824,TEL-PPO,40.0,42,baseline,,
593920,TEL-PPO,40.0,42,baseline,,
598016,TEL-PPO,40.0,42,baseline,,
602112,TEL-PPO,40.0,42,baseline,,
606208,TEL-PPO,40.0,42,baseline,,
610304,TEL-PPO,40.0,42,baseline,,
614400,TEL-PPO,40.0,42,baseline,,
618496,TEL-PPO,40.0,42,baseline,,
622592,TEL-PPO,40.0,42,baseline,,
626688,TEL-PPO,40.0,42,baseline,,
630784,TEL-PPO,40.0,42,baseline,,
634880,TEL-PPO,40.0,42,baseline,,
638976,TEL-PPO,40.0,42,baseline,,
643072,TEL-PPO,40.0,42,baseline,,
647168,TEL-PPO,40.0,42,baseline,,
651264,TEL-PPO,40.0,42,baseline,,
655360,TEL-PPO,40.0,42,baseline,,
659456,TEL-PPO,40.0,42,baseline,,
663552,TEL-PPO,40.0,42,baseline,,
667648,TEL-PPO,40.0,42,baseline,,
671744,TEL-PPO,40.0,42,baseline,,
675840,TEL-PPO,40.0,42,baseline,,
679936,TEL-PPO,40.0,42,baseline,,
684032,TEL-PPO,40.0,42,baseline,,
688128,TEL-PPO,40.0,42,baseline,,
692224,TEL-PPO,40.0,42,baseline,,
696320,TEL-PPO,40.0,42,baseline,,
700416,TEL-PPO,40.0,42,baseline,,
704512,TEL-PPO,40.0,42,baseline,,
708608,TEL-PPO,40.0,42,baseline,,
712704,TEL-PPO,40.0,42,baseline,,
716800,TEL-PPO,40.0,42,baseline,,
720896,TEL-PPO,40.0,42,baseline,,
724992,TEL-PPO,40.0,42,baseline,,
729088,TEL-PPO,40.0,42,baseline,,
733184,TEL-PPO,40.0,42,baseline,,
737280,TEL-PPO,40.0,42,baseline,,
741376,TEL-PPO,40.0,42,baseline,,
745472,TEL-PPO,40.0,42,baseline,,
749568,TEL-PPO,40.0,42,baseline,,
753664,TEL-PPO,40.0,42,baseline,,
757760,TEL-PPO,40.0,42,baseline,,
761856,TEL-PPO,40.0,42,baseline,,
765952,TEL-PPO,40.0,42,baseline,,
770048,TEL-PPO,40.0,42,baseline,,
774144,TEL-PPO,40.0,42,baseline,,
778240,TEL-PPO,40.0,42,baseline,,
782336,TEL-PPO,40.0,42,baseline,,
786432,TEL-PPO,40.0,42,baseline,,
790528,TEL-PPO,40.0,42,baseline,,
794624,TEL-PPO,40.0,42,baseline,,
798720,TEL-PPO,40.0,42,baseline,,
802816,TEL-PPO,40.0,42,baseline,,
806912,TEL-PPO,40.0,42,baseline,,
811008,TEL-PPO,40.0,42,baseline,,
815104,TEL-PPO,40.0,42,baseline,,
819200,TEL-PPO,40.0,42,baseline,,
823296,TEL-PPO,40.0,42,baseline,,
827392,TEL-PPO,40.0,42,baseline,,
831488,TEL-PPO,40.0,42,baseline,,
835584,TEL-PPO,40.0,42,baseline,,
839680,TEL-PPO,40.0,42,baseline,,
843776,TEL-PPO,40.0,42,baseline,,
847872,TEL-PPO,40.0,42,baseline,,
851968,TEL-PPO,40.0,42,baseline,,
856064,TEL-PPO,40.0,42,baseline,,
860160,TEL-PPO,40.0,42,baseline,,
864256,TEL-PPO,40.0,42,baseline,,
868352,TEL-PPO,40.0,42,baseline,,
