step,method,q,seed,ablation,drift_effort
110592,TEL-PPO,25.0,1024,baseline,
114688,TEL-PPO,25.0,1024,baseline,
114688,TEL-PPO,25.0,1024,baseline,
114688,TEL-PPO,25.0,1024,baseline,
118784,TEL-PPO,25.0,1024,baseline,
118784,TEL-PPO,25.0,1024,baseline,
118784,TEL-PPO,25.0,1024,baseline,
122880,TEL-PPO,25.0,1024,baseline,
122880,TEL-PPO,25.0,1024,baseline,
122880,TEL-PPO,25.0,1024,baseline,
126976,TEL-PPO,25.0,1024,baseline,
126976,TEL-PPO,25.0,1024,baseline,
126976,TEL-PPO,25.0,1024,baseline,
131072,TEL-PPO,25.0,1024,baseline,
131072,TEL-PPO,25.0,1024,baseline,
131072,TEL-PPO,25.0,1024,baseline,
135168,TEL-PPO,25.0,1024,baseline,
135168,TEL-PPO,25.0,1024,baseline,
135168,TEL-PPO,25.0,1024,baseline,
139264,TEL-PPO,25.0,1024,baseline,
139264,TEL-PPO,25.0,1024,baseline,
139264,TEL-PPO,25.0,1024,baseline,
143360,TEL-PPO,25.0,1024,baseline,
143360,TEL-PPO,25.0,1024,baseline,
143360,TEL-PPO,25.0,1024,baseline,
147456,TEL-PPO,25.0,1024,baseline,
147456,TEL-PPO,25.0,1024,baseline,
147456,TEL-PPO,25.0,1024,baseline,
151552,TEL-PPO,25.0,1024,baseline,
151552,TEL-PPO,25.0,1024,baseline,
151552,TEL-PPO,25.0,1024,baseline,
155648,TEL-PPO,25.0,1024,baseline,
155648,TEL-PPO,25.0,1024,baseline,
155648,TEL-PPO,25.0,1024,baseline,1.5419185161590576
159744,TEL-PPO,25.0,1024,baseline,
159744,TEL-PPO,25.0,1024,baseline,
159744,TEL-PPO,25.0,1024,baseline,
163840,TEL-PPO,25.0,1024,baseline,
163840,TEL-PPO,25.0,1024,baseline,
163840,TEL-PPO,25.0,1024,baseline,
167936,TEL-PPO,25.0,1024,baseline,
167936,TEL-PPO,25.0,1024,baseline,
167936,TEL-PPO,25.0,1024,baseline,
172032,TEL-PPO,25.0,1024,baseline,
172032,TEL-PPO,25.0,1024,baseline,
172032,TEL-PPO,25.0,1024,baseline,
176128,TEL-PPO,25.0,1024,baseline,
176128,TEL-PPO,25.0,1024,baseline,
176128,TEL-PPO,25.0,1024,baseline,
180224,TEL-PPO,25.0,1024,baseline,
180224,TEL-PPO,25.0,1024,baseline,
180224,TEL-PPO,25.0,1024,baseline,
184320,TEL-PPO,25.0,1024,baseline,
184320,TEL-PPO,25.0,1024,baseline,
184320,TEL-PPO,25.0,1024,baseline,
188416,TEL-PPO,25.0,1024,baseline,
188416,TEL-PPO,25.0,1024,baseline,
188416,TEL-PPO,25.0,1024,baseline,
192512,TEL-PPO,25.0,1024,baseline,
192512,TEL-PPO,25.0,1024,baseline,
192512,TEL-PPO,25.0,1024,baseline,
196608,TEL-PPO,25.0,1024,baseline,
196608,TEL-PPO,25.0,1024,baseline,
196608,TEL-PPO,25.0,1024,baseline,
200704,TEL-PPO,25.0,1024,baseline,
200704,TEL-PPO,25.0,1024,baseline,
200704,TEL-PPO,25.0,1024,baseline,
204800,TEL-PPO,25.0,1024,baseline,
204800,TEL-PPO,25.0,1024,baseline,
204800,TEL-PPO,25.0,1024,baseline,
208896,TEL-PPO,25.0,1024,baseline,
208896,TEL-PPO,25.0,1024,baseline,
208896,TEL-PPO,25.0,1024,baseline,
212992,TEL-PPO,25.0,1024,baseline,
212992,TEL-PPO,25.0,1024,baseline,
212992,TEL-PPO,25.0,1024,baseline,
217088,TEL-PPO,25.0,1024,baseline,
217088,TEL-PPO,25.0,1024,baseline,
217088,TEL-PPO,25.0,1024,baseline,
221184,TEL-PPO,25.0,1024,baseline,
221184,TEL-PPO,25.0,1024,baseline,
221184,TEL-PPO,25.0,1024,baseline,
225280,TEL-PPO,25.0,1024,baseline,
225280,TEL-PPO,25.0,1024,baseline,
225280,TEL-PPO,25.0,1024,baseline,
229376,TEL-PPO,25.0,1024,baseline,
229376,TEL-PPO,25.0,1024,baseline,
229376,TEL-PPO,25.0,1024,baseline,
233472,TEL-PPO,25.0,1024,baseline,
233472,TEL-PPO,25.0,1024,baseline,
233472,TEL-PPO,25.0,1024,baseline,
237568,TEL-PPO,25.0,1024,baseline,
237568,TEL-PPO,25.0,1024,baseline,
237568,TEL-PPO,25.0,1024,baseline,1.567089557647705
241664,TEL-PPO,25.0,1024,baseline,
241664,TEL-PPO,25.0,1024,baseline,
241664,TEL-PPO,25.0,1024,baseline,
245760,TEL-PPO,25.0,1024,baseline,
245760,TEL-PPO,25.0,1024,baseline,
245760,TEL-PPO,25.0,1024,baseline,
249856,TEL-PPO,25.0,1024,baseline,
249856,TEL-PPO,25.0,1024,baseline,
249856,TEL-PPO,25.0,1024,baseline,
253952,TEL-PPO,25.0,1024,baseline,
253952,TEL-PPO,25.0,1024,baseline,
253952,TEL-PPO,25.0,1024,baseline,
258048,TEL-PPO,25.0,1024,baseline,
258048,TEL-PPO,25.0,1024,baseline,
258048,TEL-PPO,25.0,1024,baseline,
262144,TEL-PPO,25.0,1024,baseline,
262144,TEL-PPO,25.0,1024,baseline,
262144,TEL-PPO,25.0,1024,baseline,
266240,TEL-PPO,25.0,1024,baseline,
266240,TEL-PPO,25.0,1024,baseline,
266240,TEL-PPO,25.0,1024,baseline,
270336,TEL-PPO,25.0,1024,baseline,
270336,TEL-PPO,25.0,1024,baseline,
270336,TEL-PPO,25.0,1024,baseline,
274432,TEL-PPO,25.0,1024,baseline,
274432,TEL-PPO,25.0,1024,baseline,
274432,TEL-PPO,25.0,1024,baseline,
278528,TEL-PPO,25.0,1024,baseline,
278528,TEL-PPO,25.0,1024,baseline,
278528,TEL-PPO,25.0,1024,baseline,
282624,TEL-PPO,25.0,1024,baseline,
282624,TEL-PPO,25.0,1024,baseline,
282624,TEL-PPO,25.0,1024,baseline,
286720,TEL-PPO,25.0,1024,baseline,
286720,TEL-PPO,25.0,1024,baseline,
286720,TEL-PPO,25.0,1024,baseline,
290816,TEL-PPO,25.0,1024,baseline,
290816,TEL-PPO,25.0,1024,baseline,
290816,TEL-PPO,25.0,1024,baseline,
294912,TEL-PPO,25.0,1024,baseline,
294912,TEL-PPO,25.0,1024,baseline,
294912,TEL-PPO,25.0,1024,baseline,
299008,TEL-PPO,25.0,1024,baseline,
299008,TEL-PPO,25.0,1024,baseline,
299008,TEL-PPO,25.0,1024,baseline,
303104,TEL-PPO,25.0,1024,baseline,
303104,TEL-PPO,25.0,1024,baseline,
303104,TEL-PPO,25.0,1024,baseline,
307200,TEL-PPO,25.0,1024,baseline,
307200,TEL-PPO,25.0,1024,baseline,
307200,TEL-PPO,25.0,1024,baseline,
311296,TEL-PPO,25.0,1024,baseline,
311296,TEL-PPO,25.0,1024,baseline,
311296,TEL-PPO,25.0,1024,baseline,
315392,TEL-PPO,25.0,1024,baseline,
315392,TEL-PPO,25.0,1024,baseline,
315392,TEL-PPO,25.0,1024,baseline,
319488,TEL-PPO,25.0,1024,baseline,
319488,TEL-PPO,25.0,1024,baseline,
319488,TEL-PPO,25.0,1024,baseline,0.22652745246887207
323584,TEL-PPO,25.0,1024,baseline,
323584,TEL-PPO,25.0,1024,baseline,
323584,TEL-PPO,25.0,1024,baseline,
327680,TEL-PPO,25.0,1024,baseline,
327680,TEL-PPO,25.0,1024,baseline,
327680,TEL-PPO,25.0,1024,baseline,
331776,TEL-PPO,25.0,1024,baseline,
331776,TEL-PPO,25.0,1024,baseline,
331776,TEL-PPO,25.0,1024,baseline,
335872,TEL-PPO,25.0,1024,baseline,
335872,TEL-PPO,25.0,1024,baseline,
335872,TEL-PPO,25.0,1024,baseline,
339968,TEL-PPO,25.0,1024,baseline,
339968,TEL-PPO,25.0,1024,baseline,
339968,TEL-PPO,25.0,1024,baseline,
344064,TEL-PPO,25.0,1024,baseline,
344064,TEL-PPO,25.0,1024,baseline,
344064,TEL-PPO,25.0,1024,baseline,
348160,TEL-PPO,25.0,1024,baseline,
348160,TEL-PPO,25.0,1024,baseline,
348160,TEL-PPO,25.0,1024,baseline,
352256,TEL-PPO,25.0,1024,baseline,
352256,TEL-PPO,25.0,1024,baseline,
352256,TEL-PPO,25.0,1024,baseline,
356352,TEL-PPO,25.0,1024,baseline,
356352,TEL-PPO,25.0,1024,baseline,
356352,TEL-PPO,25.0,1024,baseline,
360448,TEL-PPO,25.0,1024,baseline,
360448,TEL-PPO,25.0,1024,baseline,
360448,TEL-PPO,25.0,1024,baseline,
364544,TEL-PPO,25.0,1024,baseline,
364544,TEL-PPO,25.0,1024,baseline,
364544,TEL-PPO,25.0,1024,baseline,
368640,TEL-PPO,25.0,1024,baseline,
368640,TEL-PPO,25.0,1024,baseline,
368640,TEL-PPO,25.0,1024,baseline,
372736,TEL-PPO,25.0,1024,baseline,
372736,TEL-PPO,25.0,1024,baseline,
372736,TEL-PPO,25.0,1024,baseline,
376832,TEL-PPO,25.0,1024,baseline,
376832,TEL-PPO,25.0,1024,baseline,
376832,TEL-PPO,25.0,1024,baseline,
380928,TEL-PPO,25.0,1024,baseline,
380928,TEL-PPO,25.0,1024,baseline,
380928,TEL-PPO,25.0,1024,baseline,
385024,TEL-PPO,25.0,1024,baseline,
385024,TEL-PPO,25.0,1024,baseline,
385024,TEL-PPO,25.0,1024,baseline,
389120,TEL-PPO,25.0,1024,baseline,
389120,TEL-PPO,25.0,1024,baseline,
389120,TEL-PPO,25.0,1024,baseline,
393216,TEL-PPO,25.0,1024,baseline,
393216,TEL-PPO,25.0,1024,baseline,
393216,TEL-PPO,25.0,1024,baseline,
397312,TEL-PPO,25.0,1024,baseline,
397312,TEL-PPO,25.0,1024,baseline,
397312,TEL-PPO,25.0,1024,baseline,
401408,TEL-PPO,25.0,1024,baseline,
401408,TEL-PPO,25.0,1024,baseline,
401408,TEL-PPO,25.0,1024,baseline,0.7843136787414551
405504,TEL-PPO,25.0,1024,baseline,
405504,TEL-PPO,25.0,1024,baseline,
405504,TEL-PPO,25.0,1024,baseline,
409600,TEL-PPO,25.0,1024,baseline,
409600,TEL-PPO,25.0,1024,baseline,
409600,TEL-PPO,25.0,1024,baseline,
413696,TEL-PPO,25.0,1024,baseline,
413696,TEL-PPO,25.0,1024,baseline,
413696,TEL-PPO,25.0,1024,baseline,
417792,TEL-PPO,25.0,1024,baseline,
417792,TEL-PPO,25.0,1024,baseline,
417792,TEL-PPO,25.0,1024,baseline,
421888,TEL-PPO,25.0,1024,baseline,
421888,TEL-PPO,25.0,1024,baseline,
421888,TEL-PPO,25.0,1024,baseline,
425984,TEL-PPO,25.0,1024,baseline,
425984,TEL-PPO,25.0,1024,baseline,
425984,TEL-PPO,25.0,1024,baseline,
430080,TEL-PPO,25.0,1024,baseline,
430080,TEL-PPO,25.0,1024,baseline,
430080,TEL-PPO,25.0,1024,baseline,
434176,TEL-PPO,25.0,1024,baseline,
434176,TEL-PPO,25.0,1024,baseline,
434176,TEL-PPO,25.0,1024,baseline,
438272,TEL-PPO,25.0,1024,baseline,
438272,TEL-PPO,25.0,1024,baseline,
438272,TEL-PPO,25.0,1024,baseline,
442368,TEL-PPO,25.0,1024,baseline,
442368,TEL-PPO,25.0,1024,baseline,
442368,TEL-PPO,25.0,1024,baseline,
446464,TEL-PPO,25.0,1024,baseline,
446464,TEL-PPO,25.0,1024,baseline,
446464,TEL-PPO,25.0,1024,baseline,
450560,TEL-PPO,25.0,1024,baseline,
450560,TEL-PPO,25.0,1024,baseline,
450560,TEL-PPO,25.0,1024,baseline,
454656,TEL-PPO,25.0,1024,baseline,
454656,TEL-PPO,25.0,1024,baseline,
454656,TEL-PPO,25.0,1024,baseline,
458752,TEL-PPO,25.0,1024,baseline,
458752,TEL-PPO,25.0,1024,baseline,
458752,TEL-PPO,25.0,1024,baseline,
462848,TEL-PPO,25.0,1024,baseline,
462848,TEL-PPO,25.0,1024,baseline,
462848,TEL-PPO,25.0,1024,baseline,
466944,TEL-PPO,25.0,1024,baseline,
466944,TEL-PPO,25.0,1024,baseline,
466944,TEL-PPO,25.0,1024,baseline,
471040,TEL-PPO,25.0,1024,baseline,
471040,TEL-PPO,25.0,1024,baseline,
471040,TEL-PPO,25.0,1024,baseline,
475136,TEL-PPO,25.0,1024,baseline,
475136,TEL-PPO,25.0,1024,baseline,
475136,TEL-PPO,25.0,1024,baseline,
479232,TEL-PPO,25.0,1024,baseline,
479232,TEL-PPO,25.0,1024,baseline,
479232,TEL-PPO,25.0,1024,baseline,
483328,TEL-PPO,25.0,1024,baseline,
483328,TEL-PPO,25.0,1024,baseline,
483328,TEL-PPO,25.0,1024,baseline,0.3352165222167969
487424,TEL-PPO,25.0,1024,baseline,
487424,TEL-PPO,25.0,1024,baseline,
487424,TEL-PPO,25.0,1024,baseline,
491520,TEL-PPO,25.0,1024,baseline,
491520,TEL-PPO,25.0,1024,baseline,
