Episode,Effort,Reward,Loss
522,61.21,3.95,5.5223
523,60.79,3.94,4.3076
524,60.55,3.94,3.8499
525,60.71,3.94,4.0881
526,60.16,3.94,3.6434
527,61.81,3.84,7.9169
528,58.78,3.93,8.7526
529,60.03,3.89,3.8597
530,61.26,3.99,5.1208
531,60.88,3.89,3.9401
532,59.46,4.05,5.8947
533,59.74,3.88,4.6538
534,59.43,3.88,5.5868
535,60.2,3.89,3.6317
536,60.32,3.96,3.6431
537,60.41,4.03,3.7991
538,61.83,3.89,9.1163
539,60.09,4.02,3.7037
540,58.97,3.97,6.6167
541,60.13,3.92,3.6064
542,59.61,3.87,4.0627
543,59.29,3.92,4.7671
544,59.9,3.97,3.6566
545,60.24,3.98,3.9078
546,58.69,4.03,6.2699
547,59.11,4.01,4.4099
548,61.74,4.02,13.1065
549,58.66,3.89,5.2131
550,59.63,3.88,3.591
551,59.37,4.0,3.6943
552,59.88,4.04,4.111
553,59.85,3.94,3.9752
554,61.45,4.01,11.9068
555,59.32,4.01,3.7784
556,59.9,4.0,3.8223
557,61.05,3.97,7.1241
558,60.32,3.93,3.9994
559,59.45,3.96,4.3144
560,59.4,3.9,4.6538
561,58.06,3.97,12.8008
562,59.48,3.93,4.5305
563,59.59,3.95,4.0998
564,59.93,3.96,3.6436
565,60.54,4.06,4.5583
566,60.29,3.92,3.9929
567,60.41,3.94,4.2965
568,58.65,3.96,6.4427
569,61.55,3.97,9.8241
570,61.1,4.0,6.8861
571,60.3,4.03,3.9699
572,61.14,3.98,6.0172
573,61.24,4.05,5.8944
574,61.3,3.95,5.2411
575,61.62,3.92,5.5809
576,61.06,4.07,3.8249
577,61.93,4.0,5.1052
578,60.11,4.0,6.7017
579,60.59,4.02,5.3561
580,62.88,4.06,7.0073
581,62.62,4.04,5.223
582,61.82,4.03,3.7276
583,62.04,3.91,3.5996
584,64.62,4.05,15.2201
585,62.02,3.95,4.0514
586,62.91,3.98,3.7692
587,62.12,4.04,4.8528
588,62.51,4.05,4.2121
589,63.87,4.15,5.068
590,62.52,4.07,4.722
591,62.13,4.08,6.5113
592,63.63,4.14,4.0246
593,62.23,4.1,6.2729
594,63.6,4.01,3.8586
595,63.94,4.12,4.6472
596,64.13,4.1,5.1338
597,63.42,4.11,3.7799
598,63.8,4.1,4.0513
599,64.66,4.09,6.5224
600,63.69,4.1,3.7848
601,63.25,4.13,4.2638
602,62.85,4.12,5.6482
603,64.79,4.06,5.6226
604,65.11,4.11,6.8
605,63.94,4.14,3.8145
606,64.9,4.17,5.1184
607,65.15,4.02,5.319
608,64.83,4.23,4.2481
609,64.12,4.16,4.2719
610,66.05,4.14,7.5104
611,63.59,4.13,7.2974
612,65.23,4.11,3.894
