Episode,Effort,Raw_Reward,Normalized_Reward,Loss,Baseline,LR,Std_Dev
180,100.0,2.4855,-0.7794,-4.2993,0.0,0.000100,0.4567
181,100.0,1.3212,-1.8055,-9.7828,0.0,0.000100,0.4565
182,0.0,4.75,1.2512,6.5442,0.0,0.000100,0.4563
183,0.0,3.0145,-0.2971,-1.7136,0.0,0.000100,0.456
184,100.0,1.261,-1.8439,-9.9848,0.0,0.000100,0.4558
185,100.0,1.6611,-1.4755,-8.0135,0.0,0.000100,0.4556
186,42.71,2.6722,-0.5775,-2.8587,0.0,0.000100,0.4554
187,58.99,2.3666,-0.8448,-4.1335,0.0,0.000100,0.4551
188,67.01,2.8103,-0.4492,-2.2725,0.0,0.000100,0.4549
189,73.35,2.9276,-0.3439,-1.7857,0.0,0.000100,0.4547
190,63.89,2.7861,-0.4686,-2.3495,0.0,0.000100,0.4544
191,0.0,3.0145,-0.2637,-1.5183,0.0,0.000100,0.4542
192,43.45,3.5147,0.1842,0.7708,0.0,0.000100,0.454
193,72.81,2.3719,-0.839,-4.1832,0.0,0.000100,0.4538
194,13.5,5.0803,1.5822,7.8916,0.0,0.000100,0.4535
195,24.08,3.0215,-0.2613,-1.3789,0.0,0.000100,0.4533
196,0.0,3.8036,0.4397,2.2421,0.0,0.000100,0.4531
197,1.27,3.683,0.3302,1.6493,0.0,0.000100,0.4529
198,0.0,3.0145,-0.2719,-1.5525,0.0,0.000100,0.4526
199,62.23,4.2365,0.8291,3.8585,0.0,0.000100,0.4524
200,61.79,3.0509,-0.2427,-1.2523,0.0,0.000100,0.4522
201,32.76,2.8351,-0.4371,-2.1939,0.0,0.000100,0.452
202,28.61,2.8882,-0.3877,-1.9716,0.0,0.000100,0.4517
203,54.87,3.9021,0.5337,2.4336,0.0,0.000100,0.4515
204,8.07,3.7531,0.3966,1.9471,0.0,0.000100,0.4513
205,100.0,2.2377,-0.9836,-5.3598,0.0,0.000100,0.4511
206,94.62,1.2531,-1.8629,-9.8279,0.0,0.000100,0.4508
207,81.2,1.5656,-1.5659,-7.8779,0.0,0.000100,0.4506
208,0.0,3.2879,-0.0068,-0.1316,0.0,0.000100,0.4504
209,27.48,3.5792,0.2568,1.1553,0.0,0.000100,0.4502
210,100.0,1.5902,-1.5396,-8.3282,0.0,0.000100,0.4499
211,23.26,4.3285,0.9383,4.509,0.0,0.000100,0.4497
212,76.55,3.3457,0.0471,0.1449,0.0,0.000100,0.4495
213,14.92,3.6781,0.3482,1.6638,0.0,0.000100,0.4493
214,0.0,3.6211,0.2956,1.4908,0.0,0.000100,0.449
215,11.95,5.0524,1.5887,7.9814,0.0,0.000100,0.4488
216,47.39,4.0048,0.634,2.913,0.0,0.000100,0.4486
217,100.0,1.8278,-1.3396,-7.2546,0.0,0.000100,0.4484
218,0.0,4.1175,0.7388,3.8564,0.0,0.000100,0.4481
219,11.83,3.3484,0.039,0.1133,0.0,0.000100,0.4479
220,100.0,2.1472,-1.0514,-5.7127,0.0,0.000100,0.4477
221,86.72,1.9988,-1.1802,-6.0585,0.0,0.000100,0.4475
222,20.35,3.1563,-0.1256,-0.7024,0.0,0.000100,0.4472
223,100.0,2.2453,-0.9532,-5.1858,0.0,0.000100,0.447
224,0.0,3.1274,-0.1474,-0.8699,0.0,0.000100,0.4468
225,34.3,2.9289,-0.3283,-1.6471,0.0,0.000100,0.4466
226,21.83,2.9559,-0.3028,-1.5658,0.0,0.000100,0.4463
227,16.02,3.0905,-0.1787,-0.9717,0.0,0.000100,0.4461
228,100.0,2.2645,-0.9353,-5.085,0.0,0.000100,0.4459
229,64.26,3.3985,0.1087,0.4444,0.0,0.000100,0.4457
230,0.0,3.5641,0.261,1.3171,0.0,0.000100,0.4454
231,39.85,2.7543,-0.4866,-2.3785,0.0,0.000100,0.4452
232,0.72,4.2318,0.8786,4.6004,0.0,0.000100,0.445
233,94.08,2.9227,-0.3337,-1.812,0.0,0.000100,0.4448
234,51.07,2.5962,-0.635,-3.0635,0.0,0.000100,0.4446
235,43.77,3.4197,0.1302,0.5459,0.0,0.000100,0.4443
236,89.21,3.2541,-0.024,-0.1922,0.0,0.000100,0.4441
237,34.02,5.2021,1.7789,8.4257,0.0,0.000100,0.4439
238,48.79,4.2208,0.8638,4.0026,0.0,0.000100,0.4437
239,0.11,3.3241,0.03,0.0897,0.0,0.000100,0.4434
240,100.0,2.4855,-0.7488,-4.0808,0.0,0.000100,0.4432
241,41.22,3.3198,0.0291,0.069,0.0,0.000100,0.443
242,28.84,3.5453,0.2393,1.0842,0.0,0.000100,0.4428
243,100.0,2.4855,-0.7505,-4.0907,0.0,0.000100,0.4426
244,14.03,3.8299,0.508,2.4867,0.0,0.000100,0.4423
245,74.26,4.1094,0.7678,3.6645,0.0,0.000100,0.4421
246,44.98,5.0793,1.666,7.7835,0.0,0.000100,0.4419
247,56.34,2.3668,-0.8695,-4.1734,0.0,0.000100,0.4417
248,89.9,1.2104,-1.9337,-9.9766,0.0,0.000100,0.4415
249,26.59,3.8165,0.4917,2.3104,0.0,0.000100,0.4412
250,100.0,2.4756,-0.7564,-4.1246,0.0,0.000100,0.441
251,88.73,2.9252,-0.336,-1.7843,0.0,0.000100,0.4408
252,100.0,1.0004,-2.1125,-11.3886,0.0,0.000100,0.4406
253,0.0,3.8157,0.5003,2.6012,0.0,0.000100,0.4404
254,44.97,4.6793,1.2966,6.039,0.0,0.000100,0.4401
255,0.0,3.0145,-0.249,-1.3986,0.0,0.000100,0.4399
256,0.0,3.855,0.5317,2.7708,0.0,0.000100,0.4397
257,66.65,2.8422,-0.411,-2.0301,0.0,0.000100,0.4395
258,100.0,0.75,-2.3337,-12.5727,0.0,0.000100,0.4393
259,100.0,2.1668,-1.0191,-5.5275,0.0,0.000100,0.439
260,64.24,4.5463,1.1765,5.5318,0.0,0.000100,0.4388
261,28.95,4.2399,0.8903,4.2206,0.0,0.000100,0.4386
262,97.13,2.6121,-0.6133,-3.3056,0.0,0.000100,0.4384
263,100.0,2.4074,-0.8003,-4.3519,0.0,0.000100,0.4382
264,51.1,4.0584,0.727,3.3558,0.0,0.000100,0.4379
265,43.56,4.4059,1.0451,4.8598,0.0,0.000100,0.4377
266,82.45,1.5168,-1.622,-8.1368,0.0,0.000100,0.4375
267,69.16,2.903,-0.3403,-1.692,0.0,0.000100,0.4373
268,1.83,4.1569,0.8179,4.2706,0.0,0.000100,0.4371
269,7.39,3.0219,-0.2329,-1.2619,0.0,0.000100,0.4368
270,62.15,4.2543,0.9075,4.2408,0.0,0.000100,0.4366
271,48.99,5.0017,1.5908,7.4114,0.0,0.000100,0.4364
272,69.86,2.3951,-0.8192,-3.9929,0.0,0.000100,0.4362
273,33.49,3.2867,0.0065,-0.0281,0.0,0.000100,0.436
274,37.54,3.0916,-0.1742,-0.8834,0.0,0.000100,0.4358
275,36.39,3.2688,-0.0095,-0.1043,0.0,0.000100,0.4355
276,23.69,4.1825,0.8387,4.0249,0.0,0.000100,0.4353
277,0.0,4.1889,0.842,4.4374,0.0,0.000100,0.4351
278,26.86,5.1277,1.705,8.1725,0.0,0.000100,0.4349
279,58.32,2.3146,-0.905,-4.3258,0.0,0.000100,0.4347
280,100.0,0.75,-2.3316,-12.5679,0.0,0.000100,0.4344
281,29.12,3.0043,-0.2532,-1.2786,0.0,0.000100,0.4342
282,72.83,2.5639,-0.6582,-3.2432,0.0,0.000100,0.434
283,44.32,3.7234,0.4126,1.8763,0.0,0.000100,0.4338
284,86.4,2.8691,-0.3773,-1.967,0.0,0.000100,0.4336
285,29.0,5.2147,1.7837,8.5031,0.0,0.000100,0.4334
286,43.15,4.4928,1.1128,5.1677,0.0,0.000100,0.4331
287,46.11,2.7302,-0.5129,-2.468,0.0,0.000100,0.4329
288,16.99,3.0225,-0.2423,-1.2677,0.0,0.000100,0.4327
289,23.15,3.1525,-0.1218,-0.6567,0.0,0.000100,0.4325
290,14.02,5.089,1.663,8.2915,0.0,0.000100,0.4323
291,37.37,3.1698,-0.111,-0.5884,0.0,0.000100,0.4321
