update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr
170,1392640,35.20646154880524,35.20646154880524,32.67578840255737,43.54353845119476,46.07421159744263,0.0019999999999999983,0.25,0.0003
171,1400832,35.592637062072754,35.592637062072754,33.16615581512451,43.157362937927246,45.58384418487549,0.0019999999999999983,0.25,0.0003
172,1409024,35.776442885398865,35.776442885398865,33.42264652252197,42.973557114601135,45.32735347747803,0.0019999999999999983,0.25,0.0003
173,1417216,35.468724966049194,35.468724966049194,33.403942584991455,43.281275033950806,45.346057415008545,0.0019999999999999983,0.25,0.0003
174,1425408,35.54187774658203,35.54187774658203,32.26114869117737,43.20812225341797,46.48885130882263,0.0019999999999999983,0.25,0.0003
175,1433600,35.187817215919495,35.187817215919495,32.32462167739868,43.562182784080505,46.42537832260132,0.0019999999999999983,0.25,0.0003
176,1441792,34.763303995132446,34.763303995132446,32.48663604259491,43.986696004867554,46.26336395740509,0.0019999999999999983,0.25,0.0003
177,1449984,35.08281469345093,35.08281469345093,32.79163897037506,43.66718530654907,45.95836102962494,0.0019999999999999983,0.25,0.0003
178,1458176,35.23857057094574,35.23857057094574,32.359076142311096,43.51142942905426,46.390923857688904,0.0019999999999999983,0.25,0.0003
179,1466368,35.17310380935669,35.17310380935669,32.850701212882996,43.57689619064331,45.899298787117004,0.0019999999999999983,0.25,0.0003
180,1474560,35.46399533748627,35.46399533748627,32.76093363761902,43.28600466251373,45.98906636238098,0.0019999999999999983,0.25,0.0003
181,1482752,35.091588497161865,35.091588497161865,32.21355140209198,43.658411502838135,46.53644859790802,0.0019999999999999983,0.25,0.0003
182,1490944,34.73972141742706,34.73972141742706,32.887665033340454,44.01027858257294,45.862334966659546,0.0019999999999999983,0.25,0.0003
183,1499136,34.89370107650757,34.89370107650757,32.46660590171814,43.85629892349243,46.28339409828186,0.0019999999999999983,0.25,0.0003
184,1507328,34.531784653663635,34.531784653663635,32.809091210365295,44.218215346336365,45.940908789634705,0.0019999999999999983,0.25,0.0003
185,1515520,34.92589354515076,34.92589354515076,32.764161229133606,43.82410645484924,45.985838770866394,0.0019999999999999983,0.25,0.0003
186,1523712,34.463921785354614,34.463921785354614,32.43181765079498,44.286078214645386,46.31818234920502,0.0019999999999999983,0.25,0.0003
187,1531904,34.63235557079315,34.63235557079315,32.84034788608551,44.11764442920685,45.90965211391449,0.0019999999999999983,0.25,0.0003
188,1540096,34.996957182884216,34.996957182884216,32.60200083255768,43.753042817115784,46.14799916744232,0.0019999999999999983,0.25,0.0003
189,1548288,35.38145184516907,35.38145184516907,33.006707429885864,43.36854815483093,45.743292570114136,0.0019999999999999983,0.25,0.0003
190,1556480,34.957650899887085,34.957650899887085,32.74233102798462,43.792349100112915,46.00766897201538,0.0019999999999999983,0.25,0.0003
191,1564672,35.35734474658966,35.35734474658966,31.839356422424316,43.39265525341034,46.910643577575684,0.0019999999999999983,0.25,0.0003
192,1572864,35.72772204875946,35.72772204875946,32.94164299964905,43.02227795124054,45.80835700035095,0.0019999999999999983,0.25,0.0003
193,1581056,35.30556321144104,35.30556321144104,33.09616208076477,43.44443678855896,45.65383791923523,0.0019999999999999983,0.25,0.0003
194,1589248,34.90164041519165,34.90164041519165,33.17812144756317,43.84835958480835,45.57187855243683,0.0019999999999999983,0.25,0.0003
195,1597440,34.435192346572876,34.435192346572876,32.10593819618225,44.314807653427124,46.64406180381775,0.0019999999999999983,0.25,0.0003
196,1605632,34.04243052005768,34.04243052005768,32.49382734298706,44.70756947994232,46.25617265701294,0.0019999999999999983,0.25,0.0003
197,1613824,33.68222773075104,33.68222773075104,32.31433093547821,45.06777226924896,46.43566906452179,0.0019999999999999983,0.25,0.0003
198,1622016,33.5080748796463,33.5080748796463,33.15484285354614,45.2419251203537,45.59515714645386,0.0019999999999999983,0.25,0.0003
199,1630208,33.84653687477112,33.84653687477112,32.20322787761688,44.90346312522888,46.54677212238312,0.0019999999999999983,0.25,0.0003
