ts,event,queue,idx,gpu,info,cmd
2026-08-01T09:37:10+00:00,START,jobs,32,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T10:31:08+00:00,END,jobs,25,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 42 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T10:31:08+00:00,START,jobs,33,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 46 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T10:31:10+00:00,END,jobs,26,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T10:31:10+00:00,START,jobs,34,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T10:32:54+00:00,END,jobs,28,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T10:32:54+00:00,START,jobs,35,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 300 --episodes 6144000 --ablation-name r7_state4"
2026-08-01T10:48:33+00:00,END,jobs,27,gpu1,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 43 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T10:48:33+00:00,START,jobs,36,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 300 --episodes 6144000 --ablation-name r7_state4"
2026-08-01T10:49:48+00:00,END,jobs,30,gpu7,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T10:49:48+00:00,START,jobs,37,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 300 --episodes 6144000 --ablation-name r7_state4"
2026-08-01T11:03:13+00:00,END,jobs,29,gpu5,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 44 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T11:03:13+00:00,START,jobs,38,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 300 --episodes 6144000 --ablation-name r7_state4"
2026-08-01T11:18:35+00:00,END,jobs,31,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 45 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T11:18:35+00:00,START,jobs,39,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 300 --episodes 6144000 --ablation-name r7_state4"
2026-08-01T11:58:19+00:00,END,jobs,35,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 300 --episodes 6144000 --ablation-name r7_state4"
2026-08-01T11:58:19+00:00,START,jobs,40,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 300 --episodes 6144000 --ablation-name r7_state4"
2026-08-01T12:15:19+00:00,END,jobs,37,gpu7,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 300 --episodes 6144000 --ablation-name r7_state4"
2026-08-01T12:15:19+00:00,START,jobs,41,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 300 --episodes 6144000 --ablation-name r7_state4"
